"__NounName","Name","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","BasePriority","ExitCode","HasExited","ExitTime","Handle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"Process","cmd","28","14725120","2457600","1601536","3440",,,"0.015625",,,,,"8",,"False",,"3132","28","2084",".","721594","management.bat - Shortcut",,"1413120","204800",,"3440","3440","1601536","1601536","28704","28704","1601536","1601536","2457600","2457600","14725120","14725120","True","Normal","1601536","1601536","00:00:00.0156250","cmd","1","True","1","System.Diagnostics.ProcessStartInfo","12/15/2015 11:01:56 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","14725120","14725120","False",,,,"2457600","2457600",,
"Process","cmd","28","14725120","2461696","1601536","3440",,,"0",,,,,"8",,"False",,"3948","28","2224",".","786728","Administrator: Windows PowerShell",,"1413120","204800",,"3440","3440","1601536","1601536","28704","28704","1601536","1601536","2461696","2461696","14725120","14725120","True","Normal","1601536","1601536","00:00:00","cmd","1","True","1","System.Diagnostics.ProcessStartInfo","12/15/2015 11:01:19 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00","00:00:00","14725120","14725120","False",,,,"2461696","2461696",,
"Process","conhost","54","60354560","6533120","987136","7024",,,"0.015625",,,,,"8",,"False",,"3952","54","1832",".","0","",,"1413120","204800",,"7024","7024","987136","987136","121896","121896","987136","987136","6578176","6578176","60428288","60428288","True","Normal","987136","987136","00:00:00.0156250","conhost","1","True","1","System.Diagnostics.ProcessStartInfo","12/15/2015 11:01:56 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","60354560","60354560","False",,,,"6533120","6533120",,
"Process","conhost","55","60354560","6516736","987136","7024",,,"0.015625",,,,,"8",,"False",,"2620","55","2156",".","0","",,"1413120","204800",,"7024","7024","987136","987136","122776","122776","987136","987136","6516736","6516736","60354560","60354560","True","Normal","987136","987136","00:00:00.0156250","conhost","1","True","1","System.Diagnostics.ProcessStartInfo","12/15/2015 11:01:19 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","60354560","60354560","False",,,,"6516736","6516736",,
"Process","csrss","276","44888064","3915776","1667072","10688",,,"0.453125",,,,,"13",,,,,"276","320",".","0","",,,,,"10688","10688","1667072","1667072","126600","126600","1748992","1748992","4009984","4009984","46202880","46202880",,,"1667072","1667072","00:00:00.3437500","csrss",,"True","0","System.Diagnostics.ProcessStartInfo","12/15/2015 10:14:50 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4531250","00:00:00.1093750","44888064","44888064","False",,,,"3915776","3915776",,
"Process","csrss","265","91467776","23756800","1826816","20288",,,"1.171875",,,,,"13",,,,,"265","384",".","0","",,,,,"20288","20288","1826816","1826816","210928","210928","2244608","2244608","33337344","33337344","307728384","307728384",,,"1826816","1826816","00:00:00.9375000","csrss",,"True","1","System.Diagnostics.ProcessStartInfo","12/15/2015 10:14:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.1718750","00:00:00.2343750","91467776","91467776","False",,,,"23756800","23756800",,
"Process","dllhost","188","49815552","10469376","3194880","12944",,,"0.234375",,,,,"8",,"False",,"1588","188","1848",".","0","",,"1413120","204800",,"12944","12944","3194880","3194880","78240","78240","3608576","3608576","10629120","10629120","57212928","57212928","True","Normal","3194880","3194880","00:00:00.0937500","dllhost","1","True","0","System.Diagnostics.ProcessStartInfo","12/15/2015 10:15:00 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2343750","00:00:00.1406250","49815552","49815552","False",,,,"10469376","10469376",,
"Process","dwm","226","163471360","61399040","37429248","23120",,,"11.125",,,,,"13",,"False",,"1364","226","668",".","0","",,"1413120","204800",,"23120","23120","37429248","37429248","280576","280576","52006912","52006912","87478272","87478272","213118976","213118976","True","High","37429248","37429248","00:00:02.9218750","dwm","1","True","1","System.Diagnostics.ProcessStartInfo","12/15/2015 10:14:53 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:11.1250000","00:00:08.2031250","163471360","163471360","False",,,,"61399040","61399040",,
"Process","explorer","1424","556597248","110321664","47964160","92112",,,"19.40625",,,,,"8",,"False",,"3920","1424","1068",".","131112","",,"1413120","204800",,"92112","92112","47964160","47964160","1146344","1146344","58052608","58052608","119848960","119848960","773472256","773472256","True","Normal","47964160","47964160","00:00:12.1406250","explorer","1","True","1","System.Diagnostics.ProcessStartInfo","12/15/2015 10:19:22 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:19.4062500","00:00:07.2656250","556597248","556597248","False",,,,"110321664","110321664",,
"Process","Idle","0","65536","24576","0","0",,,,,,,,"0",,,,,"0","0",".","0","",,,,,"0","0","0","0","0","0","0","0","24576","24576","65536","65536",,,"0","0",,"Idle",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"65536","65536","False",,,,"24576","24576",,
